iter	RMSE
0	112412.9205
1	109502.1099
2	106695.4234
3	104127.9107
4	101651.9841
5	99342.39297
6	97017.83423
7	94798.09698
8	92745.32079
9	90875.03998
10	89058.44094
11	87286.93806
12	85629.00103
13	84058.88099
14	82576.51905
15	81137.49118
16	79794.26231
17	78549.89561
18	77342.35675
19	76165.81035
20	75115.9644
21	74101.38264
22	73174.70364
23	72264.48147
24	71373.58767
25	70574.5545
26	69795.74056
27	69107.73329
28	68433.04027
29	67755.10472
30	67107.01276
31	66495.53449
32	65953.62221
33	65407.17155
34	64869.73506
35	64415.74553
36	63978.39731
37	63555.40773
38	63136.77619
39	62712.80889
40	62328.43225
41	61969.92466
42	61655.0836
43	61348.79037
44	61057.2504
45	60740.64446
46	60467.89233
47	60191.86751
48	59908.34224
49	59651.23099
50	59440.76033
51	59195.48297
52	58958.17023
53	58735.20679
54	58518.8231
55	58322.94499
56	58135.49755
57	57954.81209
58	57796.63648
59	57623.0992
60	57472.51536
61	57318.2264
62	57159.75633
63	57037.21035
64	56919.21283
65	56800.85421
66	56661.36334
67	56540.25341
68	56395.96314
69	56274.30526
70	56158.92926
71	56060.88466
72	55944.07779
73	55845.00626
74	55758.27086
75	55654.15815
76	55559.72473
77	55448.20712
78	55364.86574
79	55259.00021
80	55176.85296
81	55091.67814
82	54997.10762
83	54921.38631
84	54846.9878
85	54753.68695
86	54700.4659
87	54637.54829
88	54551.81383
89	54472.20324
90	54411.2415
91	54353.55238
92	54300.92088
93	54225.67857
94	54134.5149
95	54082.23748
96	54024.06951
97	53966.52575
98	53922.13581
99	53867.64842
100	53822.71599
101	53759.07415
102	53721.46405
103	53665.19767
104	53628.15611
105	53556.11415
106	53513.69002
107	53479.43185
108	53442.79517
109	53400.01278
110	53364.84173
111	53309.12059
112	53256.05151
113	53205.36677
114	53158.91593
115	53117.8862
116	53086.67504
117	53045.7031
118	53008.67266
119	52953.44503
120	52902.69677
121	52842.9212
122	52791.37247
123	52757.3796
124	52710.33536
125	52665.43317
126	52639.05555
127	52599.11619
128	52569.46504
129	52532.71211
130	52499.65779
131	52471.13583
132	52442.37759
133	52411.05717
134	52379.8643
135	52351.49556
136	52318.57989
137	52288.33301
138	52254.64357
139	52214.48301
140	52180.65095
141	52158.63937
142	52126.47931
143	52086.10965
144	52054.54342
145	52022.46406
146	51994.61725
147	51968.44754
148	51944.11394
149	51912.7138
150	51866.4631
151	51831.1159
152	51797.95123
153	51759.2728
154	51730.11195
155	51699.03906
156	51659.47402
157	51638.65978
158	51618.36734
159	51585.77877
160	51545.64836
161	51502.74643
162	51467.05054
163	51417.36078
164	51378.39886
165	51355.8315
166	51338.1861
167	51315.41167
168	51271.27906
169	51238.63691
170	51206.22401
171	51164.2423
172	51131.11266
173	51094.95588
174	51068.96543
175	51044.54595
176	51012.546
177	50991.81299
178	50967.76896
179	50934.4867
180	50915.2307
181	50886.81645
182	50846.83217
183	50823.65218
184	50793.83605
185	50770.4635
186	50737.77085
187	50710.24133
188	50662.51263
189	50628.68128
190	50610.08537
191	50581.40026
192	50561.3311
193	50521.65468
194	50494.33009
195	50467.07093
196	50443.01916
197	50421.83309
198	50403.16384
199	50383.43681
200	50351.90471
201	50319.45148
202	50283.87834
203	50259.71945
204	50219.39055
205	50195.58204
206	50167.94185
207	50143.26438
208	50119.47974
209	50090.20726
210	50064.64316
211	50033.30702
212	49993.64292
213	49959.20506
214	49944.16242
215	49907.69544
216	49878.97538
217	49856.00715
218	49833.11647
219	49804.1428
220	49778.88782
221	49756.71514
222	49715.91138
223	49683.0807
224	49661.64925
225	49646.15038
226	49610.33897
227	49587.33583
228	49555.1526
229	49522.20765
230	49489.16726
231	49466.55549
232	49446.05887
233	49412.90755
234	49387.15747
235	49354.84863
236	49321.94342
237	49303.38365
238	49270.19085
239	49248.70915
240	49222.44777
241	49204.35163
242	49180.75143
243	49163.96507
244	49141.65399
245	49109.97003
246	49078.77907
247	49063.5576
248	49034.45661
249	49006.36448
250	48992.38102
251	48969.03559
252	48946.14928
253	48910.59398
254	48887.26729
255	48871.804
256	48856.40717
257	48836.08943
258	48811.05324
259	48784.7676
260	48752.15422
261	48723.12557
262	48693.74943
263	48665.87712
264	48649.85989
265	48633.10742
266	48606.78015
267	48587.78977
268	48564.87397
269	48544.34084
270	48506.28615
271	48476.45289
272	48455.5467
273	48434.72394
274	48414.68169
275	48394.00303
276	48375.4832
277	48353.91369
278	48336.4476
279	48310.73462
280	48295.10565
281	48268.63061
282	48242.33773
283	48215.57464
284	48200.55671
285	48183.27588
286	48160.26699
287	48127.7886
288	48103.17247
289	48084.9483
290	48060.73357
291	48048.73344
292	48029.01771
293	48006.98272
294	47967.18608
295	47951.32783
296	47931.67762
297	47907.97046
298	47884.46443
299	47865.65524
300	47841.0871
301	47811.38035
302	47793.68848
303	47776.36788
304	47753.71606
305	47724.82514
306	47698.4556
307	47682.38009
308	47653.06768
309	47627.8274
310	47613.89726
311	47586.90862
312	47563.13723
313	47547.88501
314	47532.90963
315	47510.43442
316	47489.4658
317	47463.02639
318	47440.96562
319	47421.04588
320	47400.24185
321	47387.82577
322	47357.32756
323	47335.86963
324	47318.86242
325	47292.69402
326	47271.63365
327	47255.84783
328	47238.93984
329	47213.26038
330	47188.1558
331	47166.94338
332	47150.19143
333	47131.15846
334	47106.26823
335	47079.79843
336	47057.86703
337	47033.81727
338	47014.07521
339	46993.83684
340	46975.14557
341	46944.69388
342	46927.90042
343	46907.96492
344	46891.00781
345	46865.87904
346	46831.62051
347	46801.31003
348	46784.0796
349	46766.52899
350	46748.24778
351	46722.30468
352	46705.81452
353	46687.76636
354	46669.42842
355	46644.84905
356	46629.01784
357	46613.3605
358	46597.0408
359	46573.80285
360	46560.39691
361	46538.06843
362	46526.46105
363	46499.769
364	46483.46545
365	46448.13513
366	46427.66082
367	46406.12106
368	46384.51153
369	46365.66364
370	46339.24674
371	46321.90419
372	46301.38715
373	46284.29724
374	46253.67304
375	46241.96049
376	46212.3865
377	46190.14905
378	46172.44075
379	46153.91993
380	46138.12961
381	46119.8939
382	46100.12615
383	46078.87152
384	46058.97127
385	46036.9277
386	46021.09958
387	45993.30572
388	45965.50601
389	45946.52628
390	45929.67795
391	45912.0993
392	45884.10421
393	45871.82178
394	45853.16799
395	45837.45126
396	45822.3998
397	45810.69408
398	45788.36428
399	45769.66133
400	45755.44658
401	45740.11254
402	45725.57985
403	45711.84396
404	45695.03034
405	45674.35264
406	45658.05864
407	45642.90267
408	45624.35417
409	45605.12657
410	45566.90168
411	45544.13969
412	45524.96365
413	45512.75903
414	45498.28921
415	45472.37368
416	45452.77835
417	45437.84204
418	45426.2678
419	45411.02949
420	45393.41864
421	45381.0621
422	45353.32439
423	45335.23771
424	45319.21468
425	45296.76548
426	45284.09213
427	45265.49607
428	45240.38125
429	45223.99142
430	45210.54883
431	45199.6064
432	45183.93032
433	45163.61954
434	45143.68686
435	45113.21691
436	45082.01961
437	45055.43222
438	45038.46288
439	45017.90188
440	44999.55078
441	44980.02314
442	44956.86737
443	44936.83516
444	44906.36069
445	44883.14086
446	44862.90228
447	44850.37435
448	44833.30813
449	44819.16634
450	44793.50892
451	44775.7448
452	44761.40078
453	44745.11926
454	44726.69567
455	44704.03842
456	44669.90504
457	44651.75068
458	44637.38544
459	44628.17918
460	44604.37081
461	44588.99019
462	44571.79769
463	44553.82349
464	44535.65017
465	44522.5108
466	44510.92354
467	44490.58847
468	44474.64646
469	44458.06446
470	44431.15024
471	44416.63712
472	44401.10604
473	44388.68087
474	44373.14897
475	44360.1772
476	44344.40018
477	44332.41561
478	44308.46002
479	44298.8019
480	44271.13877
481	44260.44237
482	44242.12757
483	44233.89096
484	44224.48248
485	44212.30427
486	44199.62904
487	44182.06866
488	44165.35852
489	44144.844
490	44122.93481
491	44109.03018
492	44096.48247
493	44086.12575
494	44074.20618
495	44055.5611
496	44036.12007
497	44023.06081
498	44010.85928
499	44000.577
500	43973.20276
501	43961.62369
502	43942.4973
503	43933.23123
504	43911.96709
505	43894.85121
506	43871.30966
507	43855.2604
508	43838.44634
509	43823.26973
510	43812.40126
511	43799.23731
512	43788.57326
513	43776.55102
514	43757.91182
515	43741.50347
516	43729.21591
517	43709.20273
518	43682.24205
519	43662.95217
520	43657.86446
521	43648.5293
522	43640.14569
523	43630.08706
524	43615.56184
525	43603.162
526	43583.18392
527	43569.11395
528	43547.36622
529	43533.61383
530	43515.55817
531	43498.45124
532	43481.28635
533	43468.52413
534	43461.45174
535	43453.35487
536	43432.88319
537	43418.73364
538	43397.43917
539	43380.81031
540	43366.07112
541	43339.43369
542	43323.20107
543	43306.12483
544	43281.31783
545	43268.94842
546	43254.31234
547	43239.85727
548	43215.665
549	43201.16163
550	43183.42258
551	43167.24721
552	43149.23273
553	43139.45095
554	43118.85751
555	43099.97874
556	43091.58061
557	43074.44718
558	43061.103
559	43042.21464
560	43023.73197
561	43010.45878
562	42989.90146
563	42973.30293
564	42958.06003
565	42944.505
566	42932.89823
567	42919.07422
568	42910.18767
569	42896.2977
570	42882.45423
571	42860.73801
572	42846.57673
573	42834.39105
574	42820.66411
575	42800.67083
576	42776.65923
577	42765.92826
578	42758.50602
579	42742.04213
580	42726.67611
581	42715.48618
582	42703.17306
583	42684.01805
584	42662.47668
585	42654.51337
586	42640.47938
587	42625.9313
588	42612.91614
589	42599.84499
590	42582.27661
591	42575.12461
592	42556.21084
593	42541.80949
594	42526.36524
595	42514.14529
596	42504.92224
597	42495.57668
598	42468.42642
599	42449.99924
600	42432.52542
601	42418.60574
602	42410.63018
603	42397.5219
604	42384.21317
605	42374.24607
606	42355.24642
607	42341.51469
608	42333.56611
609	42319.61294
610	42305.35264
611	42297.26027
612	42277.42211
613	42265.08597
614	42247.15338
615	42230.37376
616	42216.08325
617	42199.151
618	42188.77874
619	42180.42752
620	42165.70554
621	42152.75276
622	42138.06018
623	42126.25682
624	42114.06443
625	42095.17473
626	42084.27876
627	42077.40449
628	42055.05813
629	42042.81204
630	42028.35613
631	42005.92863
632	41988.75797
633	41964.99926
634	41958.438
635	41945.76968
636	41936.62287
637	41922.65619
638	41910.14021
639	41895.30707
640	41886.50184
641	41871.04807
642	41852.73119
643	41837.9863
644	41824.83744
645	41811.37172
646	41788.27076
647	41778.91521
648	41766.81181
649	41749.21689
650	41738.43301
651	41725.23877
652	41709.07151
653	41693.74953
654	41679.61306
655	41668.86274
656	41642.76454
657	41631.08367
658	41618.0945
659	41607.38924
660	41589.88142
661	41578.05
662	41563.8248
663	41558.1693
664	41542.68385
665	41526.80433
666	41515.91064
667	41501.11563
668	41486.83343
669	41469.34085
670	41454.463
671	41440.21966
672	41425.63694
673	41415.8262
674	41400.4518
675	41391.7023
676	41375.47855
677	41366.1178
678	41353.50024
679	41337.43191
680	41328.701
681	41318.19476
682	41307.35788
683	41291.12953
684	41277.56133
685	41265.92164
686	41241.53332
687	41226.20263
688	41213.43052
689	41201.66979
690	41190.44755
691	41181.99877
692	41166.40952
693	41152.4059
694	41141.31432
695	41127.63851
696	41111.2557
697	41097.52436
698	41085.27897
699	41064.20741
700	41053.35794
701	41042.70771
702	41027.91204
703	41004.94075
704	40989.00307
