iter	Passed	Remaining
0	5	5047
1	12	5666
2	21	6549
3	26	6077
4	32	6085
5	41	6418
6	46	6160
7	52	6100
8	62	6399
9	72	6658
10	84	7104
11	89	6888
12	95	6767
13	104	6865
14	109	6704
15	115	6595
16	124	6695
17	129	6574
18	134	6478
19	141	6450
20	146	6347
21	154	6385
22	156	6186
23	158	6000
24	160	5830
25	162	5672
26	164	5522
27	166	5382
28	168	5256
29	170	5136
30	172	5024
31	174	4917
32	176	4816
33	178	4722
34	180	4633
35	182	4552
36	184	4471
37	186	4398
38	189	4328
39	191	4259
40	193	4195
41	194	4132
42	197	4086
43	199	4031
44	201	3979
45	203	3927
46	205	3877
47	208	3831
48	210	3785
49	212	3742
50	214	3699
51	216	3659
52	218	3618
53	220	3579
54	222	3542
55	224	3507
56	226	3471
57	228	3439
58	230	3407
59	232	3373
60	234	3343
61	236	3313
62	238	3283
63	240	3256
64	242	3229
65	244	3203
66	246	3176
67	248	3153
68	250	3128
69	252	3106
70	254	3083
71	256	3060
72	258	3037
73	260	3016
74	262	2995
75	264	2976
76	266	2957
77	268	2938
78	270	2918
79	272	2899
80	274	2881
81	276	2863
82	278	2845
83	280	2828
84	282	2813
85	284	2797
86	286	2781
87	288	2766
88	290	2750
89	292	2737
90	294	2722
91	296	2708
92	299	2700
93	301	2687
94	303	2674
95	305	2662
96	307	2650
97	309	2638
98	312	2625
99	314	2612
100	316	2600
101	318	2588
102	320	2577
103	322	2565
104	324	2554
105	326	2544
106	328	2532
107	330	2522
108	332	2513
109	335	2504
110	337	2497
111	340	2491
112	342	2483
113	344	2474
114	347	2466
115	349	2459
116	352	2452
117	354	2445
118	356	2437
119	359	2429
120	361	2422
121	363	2415
122	366	2407
123	368	2400
124	370	2393
125	373	2386
126	375	2380
127	377	2373
128	380	2367
129	382	2361
130	385	2355
131	387	2350
132	390	2347
133	393	2341
134	395	2334
135	397	2326
136	399	2318
137	401	2309
138	403	2301
139	405	2293
140	407	2285
141	409	2278
142	411	2270
143	413	2264
144	415	2256
145	417	2249
146	419	2241
147	421	2233
148	423	2226
149	425	2219
150	427	2212
151	429	2205
152	431	2198
153	433	2191
154	435	2185
155	437	2178
156	439	2171
157	441	2164
158	443	2157
159	445	2151
160	447	2144
161	450	2139
162	452	2132
163	454	2126
164	456	2120
165	458	2113
166	460	2108
167	462	2101
168	464	2096
169	466	2091
170	468	2085
171	470	2079
172	472	2073
173	474	2067
174	476	2061
175	478	2055
176	480	2050
177	482	2045
178	484	2040
179	486	2034
180	488	2028
181	490	2023
182	492	2017
183	494	2011
184	496	2006
185	499	2002
186	501	1997
187	503	1992
188	505	1987
189	507	1982
190	509	1976
191	511	1971
192	513	1966
193	515	1961
194	517	1956
195	519	1951
196	521	1946
197	523	1941
198	525	1936
199	527	1932
200	530	1928
201	532	1923
202	534	1919
203	536	1914
204	538	1909
205	540	1905
206	542	1900
207	544	1895
208	546	1891
209	548	1887
210	550	1882
211	553	1878
212	555	1873
213	557	1869
214	559	1864
215	561	1859
216	563	1855
217	565	1851
218	567	1847
219	569	1842
220	571	1837
221	573	1833
222	575	1828
223	577	1824
224	579	1820
225	581	1817
226	583	1813
227	586	1809
228	588	1805
229	590	1800
230	592	1796
231	594	1792
232	596	1788
233	598	1784
234	600	1780
235	602	1777
236	604	1773
237	606	1769
238	608	1765
239	610	1761
240	612	1757
241	615	1753
242	617	1750
243	619	1746
244	621	1742
245	623	1738
246	625	1734
247	627	1730
248	629	1726
249	631	1722
250	633	1718
251	635	1715
252	637	1711
253	639	1707
254	641	1703
255	643	1699
256	645	1695
257	647	1692
258	649	1688
259	651	1684
260	653	1680
261	655	1677
262	657	1673
263	659	1669
264	661	1665
265	663	1662
266	666	1658
267	668	1655
268	670	1651
269	672	1647
270	674	1644
271	676	1640
272	678	1636
273	680	1633
274	682	1630
275	684	1626
276	686	1622
277	688	1619
278	690	1616
279	692	1612
280	694	1608
281	696	1605
282	698	1601
283	700	1598
284	702	1594
285	704	1592
286	707	1588
287	709	1585
288	711	1582
289	713	1578
290	715	1575
291	717	1571
292	719	1568
293	721	1564
294	723	1561
295	725	1559
296	727	1555
297	729	1552
298	731	1548
299	733	1545
300	735	1542
301	737	1539
302	739	1535
303	741	1532
304	743	1529
305	745	1525
306	747	1522
307	749	1519
308	751	1515
309	753	1512
310	755	1509
311	757	1505
312	759	1502
313	761	1499
314	763	1496
315	765	1492
316	767	1489
317	769	1486
318	771	1483
319	773	1480
320	775	1476
321	777	1473
322	779	1470
323	781	1467
324	783	1463
325	785	1460
326	787	1457
327	789	1454
328	791	1451
329	793	1448
330	795	1445
331	797	1442
332	799	1438
333	801	1435
334	803	1432
335	805	1429
336	808	1426
337	810	1423
338	812	1421
339	814	1418
340	816	1415
341	818	1412
342	820	1409
343	822	1406
344	824	1403
345	826	1400
346	828	1397
347	830	1394
348	832	1391
349	834	1388
350	836	1385
351	839	1382
352	841	1379
353	843	1377
354	845	1374
355	848	1372
356	850	1369
357	852	1367
358	855	1364
359	857	1362
360	859	1359
361	861	1357
362	864	1354
363	866	1352
364	868	1349
365	871	1347
366	873	1344
367	876	1342
368	878	1340
369	880	1337
370	882	1335
371	885	1332
372	887	1330
373	890	1328
374	892	1325
375	894	1323
376	897	1321
377	899	1318
378	901	1316
379	903	1313
380	905	1310
381	907	1307
382	909	1304
383	912	1301
384	914	1298
385	916	1295
386	918	1292
387	920	1290
388	922	1287
389	924	1284
390	926	1281
391	928	1278
392	930	1275
393	932	1272
394	934	1270
395	936	1267
396	938	1264
397	940	1261
398	942	1258
399	944	1256
400	946	1253
401	948	1250
402	950	1247
403	952	1244
404	954	1242
405	956	1239
406	958	1236
407	960	1234
408	962	1231
409	964	1228
410	966	1225
411	968	1222
412	971	1220
413	972	1217
414	974	1214
415	977	1211
416	979	1209
417	981	1206
418	983	1203
419	985	1200
420	987	1198
421	988	1195
422	991	1192
423	993	1189
424	995	1187
425	997	1184
426	999	1181
427	1001	1178
428	1003	1176
429	1005	1173
430	1007	1170
431	1009	1168
432	1011	1165
433	1013	1162
434	1015	1160
435	1017	1157
436	1019	1154
437	1021	1152
438	1023	1149
439	1025	1146
440	1027	1144
441	1029	1141
442	1031	1138
443	1033	1136
444	1035	1133
445	1037	1131
446	1039	1128
447	1041	1125
448	1043	1122
449	1045	1120
450	1047	1117
451	1049	1114
452	1051	1112
453	1053	1109
454	1055	1106
455	1057	1104
456	1059	1101
457	1061	1099
458	1064	1096
459	1066	1093
460	1068	1091
461	1070	1088
462	1072	1086
463	1074	1083
464	1076	1081
465	1078	1078
466	1080	1076
467	1082	1073
468	1084	1070
469	1086	1068
470	1088	1065
471	1090	1063
472	1092	1060
473	1094	1057
474	1097	1055
475	1099	1053
476	1101	1050
477	1103	1047
478	1105	1045
479	1107	1042
480	1109	1040
481	1111	1037
482	1113	1035
483	1115	1032
484	1117	1030
485	1119	1027
486	1121	1024
487	1123	1022
488	1125	1019
489	1127	1017
490	1130	1015
491	1132	1012
492	1134	1010
493	1136	1007
494	1138	1005
495	1140	1002
496	1142	999
497	1144	997
498	1146	995
499	1148	992
500	1150	990
501	1152	987
502	1154	985
503	1157	982
504	1159	979
505	1161	977
506	1163	975
507	1165	972
508	1167	970
509	1169	967
510	1171	965
511	1173	962
512	1175	959
513	1177	957
514	1179	955
515	1181	952
516	1183	950
517	1185	947
518	1187	945
519	1189	942
520	1192	940
521	1194	938
522	1196	935
523	1198	933
524	1200	930
525	1202	928
526	1204	925
527	1206	923
528	1208	920
529	1210	918
530	1212	915
531	1214	913
532	1216	910
533	1218	908
534	1220	905
535	1222	903
536	1224	900
537	1226	898
538	1229	896
539	1231	893
540	1233	891
541	1235	888
542	1237	886
543	1239	883
544	1241	881
545	1243	879
546	1245	876
547	1248	874
548	1250	872
549	1252	869
550	1254	867
551	1256	864
552	1258	862
553	1260	860
554	1262	857
555	1264	855
556	1266	852
557	1268	850
558	1270	847
559	1272	845
560	1274	843
561	1277	840
562	1279	838
563	1281	836
564	1283	833
565	1285	831
566	1287	828
567	1289	826
568	1291	824
569	1293	821
570	1295	819
571	1298	817
572	1300	814
573	1302	812
574	1304	809
575	1306	807
576	1308	804
577	1310	802
578	1312	800
579	1314	797
580	1316	795
581	1318	793
582	1320	790
583	1322	788
584	1325	786
585	1327	783
586	1329	781
587	1331	779
588	1333	776
589	1335	774
590	1337	771
591	1339	769
592	1341	767
593	1344	764
594	1346	762
595	1348	760
596	1350	757
597	1353	755
598	1355	753
599	1358	751
600	1360	749
601	1363	747
602	1365	744
603	1367	742
604	1370	740
605	1372	738
606	1375	736
607	1377	734
608	1379	731
609	1382	729
610	1384	727
611	1387	725
612	1389	723
613	1392	721
614	1395	719
615	1397	716
616	1399	714
617	1402	712
618	1404	710
619	1406	708
620	1409	705
621	1411	703
622	1413	701
623	1416	698
624	1418	696
625	1420	694
626	1422	691
627	1424	689
628	1426	686
629	1428	684
630	1430	682
631	1432	679
632	1434	677
633	1436	675
634	1438	672
635	1440	670
636	1442	668
637	1444	665
638	1447	663
639	1449	661
640	1451	658
641	1453	656
642	1455	653
643	1457	651
644	1459	649
645	1461	646
646	1463	644
647	1465	642
648	1467	639
649	1469	637
650	1471	635
651	1473	632
652	1475	630
653	1477	628
654	1479	625
655	1481	623
656	1483	621
657	1485	618
658	1487	616
659	1489	613
660	1491	611
661	1493	609
662	1496	606
663	1498	604
664	1500	602
665	1502	600
666	1504	597
667	1506	595
668	1508	593
669	1510	590
670	1512	588
671	1514	586
672	1516	583
673	1518	581
674	1521	579
675	1523	576
676	1525	574
677	1527	572
678	1528	569
679	1531	567
680	1533	565
681	1535	562
682	1537	560
683	1539	558
684	1541	555
685	1543	553
686	1545	551
687	1547	548
688	1549	546
689	1551	544
690	1553	541
691	1555	539
692	1557	537
693	1559	534
694	1562	532
695	1564	530
696	1566	528
697	1568	525
698	1570	523
699	1572	521
700	1574	518
701	1576	516
702	1578	514
703	1581	512
704	1583	509
705	1585	507
706	1587	505
707	1589	502
708	1591	500
709	1593	498
710	1595	495
711	1597	493
712	1599	491
713	1601	488
714	1603	486
715	1605	484
716	1607	482
717	1609	479
718	1611	477
719	1613	475
720	1615	472
721	1617	470
722	1619	468
723	1621	465
724	1624	463
725	1626	461
726	1628	459
727	1630	456
728	1632	454
729	1634	452
730	1636	449
731	1638	447
732	1640	445
733	1642	443
734	1644	440
735	1646	438
736	1649	436
737	1651	434
738	1653	431
739	1655	429
740	1657	427
741	1659	424
742	1661	422
743	1663	420
744	1665	418
745	1667	415
746	1669	413
747	1671	411
748	1673	408
749	1676	406
750	1678	404
751	1680	402
752	1682	399
753	1684	397
754	1686	395
755	1688	393
756	1690	390
757	1692	388
758	1694	386
759	1696	383
760	1698	381
761	1700	379
762	1702	377
763	1704	374
764	1706	372
765	1708	370
766	1711	368
767	1713	365
768	1715	363
769	1717	361
770	1719	359
771	1721	356
772	1724	354
773	1726	352
774	1728	350
775	1730	347
776	1732	345
777	1735	343
778	1737	341
779	1739	339
780	1741	336
781	1744	334
782	1746	332
783	1748	329
784	1750	327
785	1752	325
786	1754	323
787	1756	320
788	1758	318
789	1760	316
790	1762	314
791	1764	311
792	1766	309
793	1769	307
794	1771	305
795	1773	302
796	1775	300
797	1777	298
798	1779	296
799	1781	294
800	1783	291
801	1785	289
802	1787	287
803	1790	284
804	1792	282
805	1794	280
806	1796	278
807	1798	276
808	1800	273
809	1802	271
810	1804	269
811	1807	267
812	1809	264
813	1811	262
814	1813	260
815	1815	258
816	1817	255
817	1819	253
818	1821	251
819	1823	249
820	1826	246
821	1828	244
822	1830	242
823	1832	240
824	1834	237
825	1836	235
826	1839	233
827	1841	231
828	1843	229
829	1845	226
830	1847	224
831	1849	222
832	1851	220
833	1854	217
834	1856	215
835	1859	213
836	1861	211
837	1864	209
838	1866	206
839	1869	204
840	1871	202
841	1874	200
842	1876	198
843	1878	195
844	1881	193
845	1883	191
846	1885	189
847	1888	187
848	1890	184
849	1893	182
850	1895	180
851	1898	178
852	1900	176
853	1902	173
854	1905	171
855	1907	169
856	1910	167
857	1912	164
858	1915	162
859	1917	160
860	1919	158
861	1922	156
862	1924	153
863	1926	151
864	1928	149
865	1930	147
866	1932	144
867	1934	142
868	1936	140
869	1938	138
870	1941	135
871	1943	133
872	1945	131
873	1947	129
874	1949	126
875	1951	124
876	1953	122
877	1955	120
878	1957	118
879	1959	115
880	1961	113
881	1963	111
882	1966	109
883	1968	106
884	1970	104
885	1972	102
886	1974	100
887	1976	97
888	1978	95
889	1980	93
890	1982	91
891	1984	88
892	1986	86
893	1988	84
894	1990	82
895	1992	80
896	1994	77
897	1996	75
898	1998	73
899	2001	71
900	2003	68
901	2005	66
902	2007	64
903	2009	62
904	2011	60
905	2013	57
906	2015	55
907	2017	53
908	2019	51
909	2021	48
910	2023	46
911	2025	44
912	2027	42
913	2029	39
914	2031	37
915	2033	35
916	2035	33
917	2037	31
918	2039	28
919	2041	26
920	2043	24
921	2045	22
922	2047	19
923	2049	17
924	2052	15
925	2054	13
926	2056	11
927	2058	8
928	2060	6
929	2062	4
930	2064	2
931	2066	0
